EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,IAPractice2Trials.thisRepN,IAPractice2Trials.thisTrialN,IAPractice2Trials.thisN,IAPractice2Trials.thisIndex,EncPractice2Trials.thisRepN,EncPractice2Trials.thisTrialN,EncPractice2Trials.thisN,EncPractice2Trials.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,FixCross.stopped,EAPracticeEndText.started,EAPracticeEndKey.started,EAPracticeEndKey.keys,EAPracticeEndKey.rt,IAPracticeInstructions1Text1.started,IAPracticeInstructions1Text2.started,IAPracticeInstructions1RespText.started,IAPracticeInstructions1Resp.started,IAPracticeInstructions1Resp.keys,IAPracticeInstructions1Resp.rt,IAPracticeInstructions2Text.started,IAPracticeInstructions2Resp.started,IAPracticeInstructions2Resp.keys,IAPracticeInstructions2Resp.rt,has_neg,IAPractice1Stim.started,IAPractice1Resp.started,IAPractice1Text1.started,IAPractice1Resp.keys,IAPractice1Resp.corr,IAPractice1Resp.rt,IAPractice1Feedback.started,IAPostPractice1Resp.started,IAPostPractice1Resp.keys,IAPostPractice1Resp.rt,IATrialStim.started,IATrialRespText.started,IATrialResp.started,IATrialResp.keys,IATrialResp.corr,IATrialResp.rt,IAPracticeEndText.started,IAPracticeEndResp.started,IAPracticeEndResp.keys,IAPracticeEndResp.rt,EncPracticeInstructionsText1.started,EncPracticeInstructionsText2.started,EncPracticeInstructionsRespText.started,EncPracticeInstructionsResp.started,EncPracticeInstructionsResp.keys,EncPracticeInstructionsResp.rt,EncPracticeInstructions2Text.started,EncPracticeInstructions2Resp.started,EncPracticeInstructions2Resp.keys,EncPracticeInstructions2Resp.rt,EncPractice1Stim.started,EncPractice1Resp.started,EncPractice1RespText.started,EncPractice1Resp.keys,EncPractice1Resp.corr,EncPractice1Resp.rt,EncPractice1Feedback.started,EncPractice1FeedbackResp.started,EncPractice1FeedbackResp.keys,EncPractice1FeedbackResp.rt,EncImage.started,EncTrialRespView.started,EncTrialRespText.started,EncTrialResp.started,EncTrialResp.keys,EncTrialResp.corr,EncTrialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.215842166973744,30.215842166973744,1,1.188018207991263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.432736499991734,31.432736499991734,31.432736499991734,31.432736499991734,space,0.649550292029744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.093422249978175,32.093422249978175,1,0.7278378749906551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,InternTask.156.jpeg,3,subadd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32.88293395898654,32.88293395898654,34.327362291980535,4,1,1.9183742910099681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.85352350000176,34.85352350000176,1,1.0291236669872887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.054.jpeg,0,addadd,,,,,,,,,,,,,35.8978781249898,,,,,,,,36.436444583989214,,,,,,,,,,,,,,,0,,,,,,,,,,,36.436444583989214,37.89219033397967,37.89219033397967,2,1,1.2072997500072233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.078.jpeg,4,addsub,,,,,,,,,,,,,39.133571374986786,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,39.66851170899463,41.12563433399191,41.12563433399191,3,1,0.8753871250082739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.172.jpeg,2,subadd,,,,,,,,,,,,,42.032066624989966,,,,,,,,42.562838208978064,,,,,,,,,,,,,,,0,,,,,,,,,,,42.562838208978064,44.025498208997305,44.025498208997305,2,1,0.5637968750088476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.088.jpeg,12,addsub,,,,,,,,,,,,,44.615850000001956,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,45.14389924998977,46.59322749997955,46.59322749997955,2,1,0.4933616250054911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.11575825000182,47.11575825000182,1,1.0282244160189293,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.165482666983735,48.165482666983735,48.165482666983735,48.165482666983735,space,0.967685415991582,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.156893416977255,49.156893416977255,1,0.9261572499817703,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Encod_Stim.156.jpeg,,vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.147097874985775,51.59369466698263,51.59369466698263,2,1,0.6230162499996368,,,,,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.266156124998815,52.266156124998815,1,1.2999005420133471,,,,,,,,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,4,Encod_Stim.054.jpeg,,vehicle,,,,,,,,,,,,,53.59825629199622,,,,,,,,54.143445583991706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.143445583991706,55.608906708977884,55.608906708977884,55.608906708977884,4,1,0.4326532499981113,999,001,2025-02-18_09h27.36.090,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Encod_Stim.078.jpeg,,building,,,,,,,,,,,,,57.09655133399065,,,,,,,,57.639796041999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.639796041999944,,,,,,,,,,,,,
