EALoadLoop.thisRepN,EALoadLoop.thisTrialN,EALoadLoop.thisN,EALoadLoop.thisIndex,EncLoadLoop.thisRepN,EncLoadLoop.thisTrialN,EncLoadLoop.thisN,EncLoadLoop.thisIndex,IALoadLoop.thisRepN,IALoadLoop.thisTrialN,IALoadLoop.thisN,IALoadLoop.thisIndex,RetLoadLoop.thisRepN,RetLoadLoop.thisTrialN,RetLoadLoop.thisN,RetLoadLoop.thisIndex,EAPractice2Trials.thisRepN,EAPractice2Trials.thisTrialN,EAPractice2Trials.thisN,EAPractice2Trials.thisIndex,IAPractice2Trials.thisRepN,IAPractice2Trials.thisTrialN,IAPractice2Trials.thisN,IAPractice2Trials.thisIndex,EncPractice2Trials.thisRepN,EncPractice2Trials.thisTrialN,EncPractice2Trials.thisN,EncPractice2Trials.thisIndex,welcomeText.started,welcomeKey.started,welcomeKey.keys,welcomeKey.rt,welcomeText2.started,welcomeKey2.started,welcomeKey2.keys,welcomeKey2.rt,EAPracticeText1.started,EAPracticeText2.started,EAPracticeRespText.started,EAPracticeKey.started,EAPracticeKey.keys,EAPracticeKey.rt,EAPractice2Text.started,EAPractice2Key.started,EAPractice2Key.keys,EAPractice2Key.rt,corr_key,stim_name,magnitude,stim_spec,num_big,EAPractice1Text1.started,EAPractice1Stim.started,EAPractice1Resp.started,EAPractice1Text2.started,EAPractice1Resp.keys,EAPractice1Resp.corr,EAPractice1Resp.rt,EAPostPractice1Text.started,EAPostPractice1Resp.started,EAPostPractice1Resp.keys,EAPostPractice1Resp.rt,FixCross.started,FixCross.stopped,EATrialText1.started,EATrialStim.started,EATrialText2.started,EATrialResp.started,EATrialResp.keys,EATrialResp.corr,EATrialResp.rt,EAPracticeEndText.started,EAPracticeEndKey.started,EAPracticeEndKey.keys,EAPracticeEndKey.rt,IAPracticeInstructions1Text1.started,IAPracticeInstructions1Text2.started,IAPracticeInstructions1RespText.started,IAPracticeInstructions1Resp.started,IAPracticeInstructions1Resp.keys,IAPracticeInstructions1Resp.rt,IAPracticeInstructions2Text.started,IAPracticeInstructions2Resp.started,IAPracticeInstructions2Resp.keys,IAPracticeInstructions2Resp.rt,has_neg,IAPractice1Stim.started,IAPractice1Resp.started,IAPractice1Text1.started,IAPractice1Resp.keys,IAPractice1Resp.corr,IAPractice1Resp.rt,IAPractice1Feedback.started,IAPostPractice1Resp.started,IAPostPractice1Resp.keys,IAPostPractice1Resp.rt,IATrialStim.started,IATrialRespText.started,IATrialResp.started,IATrialResp.keys,IATrialResp.corr,IATrialResp.rt,IAPracticeEndText.started,IAPracticeEndResp.started,IAPracticeEndResp.keys,IAPracticeEndResp.rt,EncPracticeInstructionsText1.started,EncPracticeInstructionsText2.started,EncPracticeInstructionsRespText.started,EncPracticeInstructionsResp.started,EncPracticeInstructionsResp.keys,EncPracticeInstructionsResp.rt,EncPracticeInstructions2Text.started,EncPracticeInstructions2Resp.started,EncPracticeInstructions2Resp.keys,EncPracticeInstructions2Resp.rt,EncPractice1Stim.started,EncPractice1Resp.started,EncPractice1RespText.started,EncPractice1Resp.keys,EncPractice1Resp.corr,EncPractice1Resp.rt,EncPractice1Feedback.started,EncPractice1FeedbackResp.started,EncPractice1FeedbackResp.keys,EncPractice1FeedbackResp.rt,EncImage.started,EncTrialRespView.started,EncTrialRespText.started,EncTrialResp.started,EncTrialResp.keys,EncTrialResp.corr,EncTrialResp.rt,EncTrialRespView.stopped,EncTrialRespText.stopped,EncTrialResp.stopped,EncPracticeEndText.started,EncPracticeEndResp.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.06859212499694,29.06859212499694,1,0.777810708998004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.868982499989215,29.868982499989215,29.868982499989215,29.868982499989215,space,0.8551361249992624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.75263541698223,30.75263541698223,1,0.5332544590055477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.235.jpeg,7,subsub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31.34829449999961,31.34829449999961,32.795216500002425,2,1,1.89591091699549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.287453625001945,33.287453625001945,1,0.8787298340175766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.065.jpeg,0,addadd,,,,,,,,,,,,,34.18499645899283,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,34.739174249989446,36.16158733400516,36.16158733400516,2,1,0.411938375007594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.016.jpeg,2,addadd,,,,,,,,,,,,,36.601690499985125,37.14023933399585,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,37.14023933399585,38.59531020899885,38.59531020899885,3,1,0.40914366699871607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,2,InternTask.051.jpeg,0,addadd,,,,,,,,,,,,,39.035339458991075,39.56609933398431,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,39.56609933398431,41.02760237499024,41.02760237499024,2,1,0.42827237499295734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,InternTask.250.jpeg,1,subsub,,,,,,,,,,,,,41.48584912499064,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,42.01235808400088,43.460226708994014,43.460226708994014,3,1,0.3804983750160318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.86427691701101,43.86427691701101,1,3.5535702080233023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43451783398632,47.43451783398632,47.43451783398632,47.43451783398632,space,2.728384417016059,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.18585137499031,50.18585137499031,1,0.8097319159714971,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Encod_Stim.235.jpeg,,building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.059416750009404,52.49535266699968,52.49535266699968,2,1,0.4569243750011083,,,,,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.004580499982694,53.004580499982694,1,0.938803333992837,,,,,,,,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,3,Encod_Stim.065.jpeg,,vehicle,,,,,,,,,,,,,53.96657679200871,54.515983958990546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.515983958990546,55.971114249987295,55.971114249987295,55.971114249987295,3,1,0.35702304099686444,,,,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,2,Encod_Stim.016.jpeg,,fruit,,,,,,,,,,,,,57.48468908399809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.010728749999544,59.467942208983004,59.467942208983004,59.467942208983004,2,1,0.9110303330235183,60.95704716700129,60.95704716700129,60.95704716700129,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,2,Encod_Stim.051.jpeg,,vehicle,,,,,,,,,,,,,60.967083208990516,61.50439041698701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.50439041698701,62.96547866699984,62.96547866699984,62.96547866699984,2,1,0.855316542001674,64.45868587499717,64.45868587499717,64.45868587499717,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,2,Encod_Stim.250.jpeg,,building,,,,,,,,,,,,,64.46550250001019,64.99626625000383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.99626625000383,66.4664555839845,66.4664555839845,66.4664555839845,3,0,0.9542314590071328,67.95687012499548,67.95687012499548,67.95687012499548,,,999,001,2025-02-18_09h32.41.755,RetGoals_V1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96706608400564,67.96706608400564,,,,,,,
